video_index,video_name,frame_index,center_x,center_y,x1,y1,x2,y2,confidence
0,single_car_video_1_speed_1V_1_header.mp4,0,58.32,2175.81,0.0,2079.06,116.63,2272.57,0.6066
0,single_car_video_1_speed_1V_1_header.mp4,1,47.09,2190.19,0.0,2105.61,94.18,2274.78,0.5845
0,single_car_video_1_speed_1V_1_header.mp4,2,51.65,2189.01,0.0,2103.91,103.3,2274.11,0.6042
0,single_car_video_1_speed_1V_1_header.mp4,3,57.04,2185.82,0.09,2103.5,113.99,2268.14,0.5818
0,single_car_video_1_speed_1V_1_header.mp4,4,55.14,2189.9,0.0,2109.25,110.29,2270.54,0.6718
0,single_car_video_1_speed_1V_1_header.mp4,5,55.56,2166.73,0.12,2064.91,110.99,2268.55,0.6668
0,single_car_video_1_speed_1V_1_header.mp4,6,54.79,2186.86,0.0,2099.88,109.57,2273.84,0.6664
0,single_car_video_1_speed_1V_1_header.mp4,7,56.79,2188.0,0.0,2100.09,113.57,2275.91,0.6737
0,single_car_video_1_speed_1V_1_header.mp4,8,58.08,2186.72,0.0,2097.8,116.17,2275.64,0.6688
0,single_car_video_1_speed_1V_1_header.mp4,9,62.59,2189.52,0.0,2102.62,125.17,2276.41,0.7645
0,single_car_video_1_speed_1V_1_header.mp4,10,65.23,2188.63,0.0,2102.58,130.47,2274.68,0.7567
0,single_car_video_1_speed_1V_1_header.mp4,11,67.81,2168.66,2.95,2059.88,132.66,2277.45,0.8182
0,single_car_video_1_speed_1V_1_header.mp4,12,73.46,2171.31,2.91,2066.52,144.01,2276.1,0.7712
0,single_car_video_1_speed_1V_1_header.mp4,13,77.64,2170.47,0.21,2065.89,155.07,2275.04,0.8217
0,single_car_video_1_speed_1V_1_header.mp4,14,77.48,2173.82,0.1,2070.61,154.87,2277.03,0.8411
0,single_car_video_1_speed_1V_1_header.mp4,15,81.3,2177.25,0.0,2071.4,162.61,2283.1,0.8512
0,single_car_video_1_speed_1V_1_header.mp4,16,82.9,2178.34,0.0,2074.97,165.8,2281.71,0.8576
0,single_car_video_1_speed_1V_1_header.mp4,17,86.29,2179.1,0.0,2073.9,172.57,2284.3,0.8665
0,single_car_video_1_speed_1V_1_header.mp4,18,90.53,2176.9,0.0,2074.39,181.06,2279.42,0.8746
0,single_car_video_1_speed_1V_1_header.mp4,19,92.73,2179.99,0.14,2079.58,185.31,2280.4,0.8848
0,single_car_video_1_speed_1V_1_header.mp4,20,94.88,2181.16,0.27,2080.91,189.49,2281.41,0.8907
0,single_car_video_1_speed_1V_1_header.mp4,21,102.63,2183.12,0.72,2082.8,204.54,2283.45,0.8882
0,single_car_video_1_speed_1V_1_header.mp4,22,102.91,2184.68,0.75,2085.96,205.07,2283.41,0.8849
0,single_car_video_1_speed_1V_1_header.mp4,23,104.95,2184.41,0.82,2084.82,209.08,2284.01,0.8912
0,single_car_video_1_speed_1V_1_header.mp4,24,110.78,2183.01,0.89,2082.73,220.67,2283.3,0.8847
0,single_car_video_1_speed_1V_1_header.mp4,25,119.74,2182.93,1.01,2083.11,238.47,2282.74,0.8892
0,single_car_video_1_speed_1V_1_header.mp4,26,119.8,2184.6,0.0,2085.76,239.6,2283.43,0.8921
0,single_car_video_1_speed_1V_1_header.mp4,27,119.92,2183.16,0.0,2087.61,239.85,2278.72,0.8839
0,single_car_video_1_speed_1V_1_header.mp4,28,120.17,2183.93,0.0,2087.41,240.33,2280.45,0.8899
0,single_car_video_1_speed_1V_1_header.mp4,29,125.84,2183.42,0.23,2087.5,251.44,2279.34,0.8964
0,single_car_video_1_speed_1V_1_header.mp4,30,129.77,2181.64,3.2,2087.18,256.35,2276.1,0.8945
0,single_car_video_1_speed_1V_1_header.mp4,31,137.66,2181.09,7.4,2086.76,267.91,2275.43,0.8931
0,single_car_video_1_speed_1V_1_header.mp4,32,143.06,2180.09,13.11,2086.72,273.0,2273.46,0.8836
0,single_car_video_1_speed_1V_1_header.mp4,33,157.26,2180.91,24.14,2089.27,290.39,2272.54,0.8789
0,single_car_video_1_speed_1V_1_header.mp4,34,161.08,2184.1,31.77,2093.48,290.4,2274.72,0.8935
0,single_car_video_1_speed_1V_1_header.mp4,35,162.09,2183.56,34.02,2092.85,290.15,2274.28,0.8673
0,single_car_video_1_speed_1V_1_header.mp4,36,163.17,2181.52,36.81,2089.9,289.53,2273.15,0.8693
0,single_car_video_1_speed_1V_1_header.mp4,37,168.91,2179.57,46.19,2088.81,291.63,2270.32,0.8741
0,single_car_video_1_speed_1V_1_header.mp4,38,181.47,2177.46,52.78,2087.4,310.16,2267.52,0.887
0,single_car_video_1_speed_1V_1_header.mp4,39,188.37,2175.16,59.37,2086.67,317.36,2263.64,0.8812
0,single_car_video_1_speed_1V_1_header.mp4,40,193.0,2176.21,60.93,2089.34,325.06,2263.08,0.8741
0,single_car_video_1_speed_1V_1_header.mp4,41,197.18,2174.69,71.31,2092.64,323.06,2256.74,0.8608
0,single_car_video_1_speed_1V_1_header.mp4,42,207.27,2172.39,77.42,2091.27,337.11,2253.51,0.8745
