video_index,video_name,frame_index,vehicle_id,associated_road,x,y,state,collision
0,Video_1_new_header.mp4,5,1,0,640.74,1893.72,detected,0
0,Video_1_new_header.mp4,5,2,2,204.34,621.32,detected,0
0,Video_1_new_header.mp4,6,1,0,650.41,1886.37,detected,0
0,Video_1_new_header.mp4,6,2,2,208.85,629.65,detected,0
0,Video_1_new_header.mp4,7,1,3,658.3,1878.66,detected,0
0,Video_1_new_header.mp4,7,2,1,215.63,633.66,detected,0
0,Video_1_new_header.mp4,8,1,3,666.56,1870.68,detected,0
0,Video_1_new_header.mp4,8,2,1,227.3,645.48,detected,0
0,Video_1_new_header.mp4,9,1,3,681.66,1867.03,detected,0
0,Video_1_new_header.mp4,9,2,1,230.18,650.46,detected,0
0,Video_1_new_header.mp4,10,1,3,687.37,1858.46,detected,0
0,Video_1_new_header.mp4,10,2,1,233.12,660.27,detected,0
0,Video_1_new_header.mp4,11,1,3,700.96,1850.11,detected,0
0,Video_1_new_header.mp4,11,2,1,242.15,669.4,detected,0
0,Video_1_new_header.mp4,12,1,0,707.57,1840.17,detected,0
0,Video_1_new_header.mp4,12,2,1,248.68,674.22,detected,0
0,Video_1_new_header.mp4,13,1,0,714.22,1827.83,detected,0
0,Video_1_new_header.mp4,13,2,1,251.15,679.05,detected,0
0,Video_1_new_header.mp4,14,1,0,726.13,1821.35,detected,0
0,Video_1_new_header.mp4,14,2,1,250.73,680.3,detected,0
0,Video_1_new_header.mp4,15,1,0,736.84,1813.55,detected,0
0,Video_1_new_header.mp4,15,2,1,255.57,693.21,detected,0
0,Video_1_new_header.mp4,16,1,0,741.99,1803.48,detected,0
0,Video_1_new_header.mp4,16,2,1,257.0,701.51,detected,0
0,Video_1_new_header.mp4,17,1,3,748.73,1797.41,detected,0
0,Video_1_new_header.mp4,17,2,1,262.65,708.36,detected,0
0,Video_1_new_header.mp4,18,1,3,754.4,1788.46,detected,0
0,Video_1_new_header.mp4,18,2,1,271.78,715.67,detected,0
0,Video_1_new_header.mp4,19,1,3,764.51,1777.27,detected,0
0,Video_1_new_header.mp4,19,2,1,277.51,721.87,detected,0
0,Video_1_new_header.mp4,20,1,3,768.74,1765.7,detected,0
0,Video_1_new_header.mp4,20,2,1,280.71,726.86,detected,0
0,Video_1_new_header.mp4,21,1,0,773.51,1760.32,detected,0
0,Video_1_new_header.mp4,21,2,1,287.14,732.74,detected,0
0,Video_1_new_header.mp4,22,1,0,786.23,1744.83,detected,0
0,Video_1_new_header.mp4,22,2,1,289.13,741.53,detected,0
0,Video_1_new_header.mp4,23,1,3,787.84,1739.0,detected,0
0,Video_1_new_header.mp4,23,2,1,292.67,751.21,detected,0
0,Video_1_new_header.mp4,24,1,3,798.17,1728.52,detected,0
0,Video_1_new_header.mp4,24,2,1,295.89,756.27,detected,0
0,Video_1_new_header.mp4,25,1,3,801.01,1717.11,detected,0
